id|imsi|imei|cell|lac|event_type|event_ts
465|180898584|25089195153591|1434|48|6|28/12/2020 14:27
466||26328152068335|9734|30|9|05/12/2020 13:58
467|594123785|82389321560284|7478|17|6|21/12/2020 11:45
468|352481743|75769911276997|3986|35|1|22/12/2020 00:02
469|682614718|60425836041780|1550|32|6|19/12/2020 12:03
470|781117968|89346841690085|5897|55|1|13/12/2020 09:32
471|151889866|15694848505773|1828|90|4|10/12/2020 07:16
472|726715103||5872|86|9|04/12/2020 01:10
473|973885055|30960414445407|8450|65|7|03/12/2020 18:50
474|679816367|50479797501133|7549|45|2|23/12/2020 08:45
475|565665463|92370034517882|1769|45|5|29/12/2020 17:59
476|496671665|85536133659259|7790|44|3|22/12/2020 06:24
477|517365606|25355529804479|8802|41|3|04/12/2020 07:21
478|847406791|79912932122558|7824|64|9|06/12/2020 16:27
479|283740394|83111744280057||25|2|01/12/2020 01:00
480|249271208|60290648282475|2947|22|8|20/12/2020 22:29
481|988228990|25077707431390|8435|76|4|20/12/2020 17:08
482|530090359|95578366707979|3847|55|7|01/12/2020 17:13
483|431442166|49579400252729|3250|70||08/12/2020 19:21
484|438775270|13261336910510|4796|21|2|22/12/2020 18:38
485|693396869|62473973366890|9956|50|8|09/12/2020 11:48
486|870822845|30439125576146|1650|81|2|24/12/2020 15:16
487|184382657|14503662486348|9267|59|8|16/12/2020 06:03
488|822407765|37557561999438|3405|59|3|07/12/2020 22:56
489|409993086|20763107197209|2419|91|8|07/12/2020 07:08
490|291832997|92161190827873|4264|72|2|
491|445820017|39380510412605|4752|60|4|03/12/2020 02:54
492|291803689|65048386996774|9212|27|2|12/12/2020 06:06
493|364347309|93284991373913||71|4|07/12/2020 05:35
494|950736765|48374926975799|5675|84|2|26/12/2020 12:36
495|989281620|30796613059287|7897|85|8|02/12/2020 17:28
496|655853530|30879520973554|5260|97|7|22/12/2020 02:38
497||63544790324362|2817|32|8|01/12/2020 13:08
498|886934078|91940047766863|2808|70|8|
499|759921900|73127599483764|1836|44|1|14/12/2020 14:22
500|739135262|17282062485664|4751|31|5|17/12/2020 12:05
501|563402550|36931691853412|2913|32|9|03/12/2020 23:05
502|838988527||2741|52|1|13/12/2020 08:14
503|361801524|82115233963418|2655|49|5|13/12/2020 19:43
504|163203412|56857781830682|6608|79|5|11/12/2020 03:13
505|683534827|50857465286583|9811|22|9|31/12/2020 20:11
506|422708069|34548719878036|3352|13|5|13/12/2020 14:08
507|301091176|13358222629602|6182|67|1|04/12/2020 02:49
508|747271511|65428543929624|3148|44|7|02/12/2020 16:38
509|735474891|24813270725823|5172|36|2|18/12/2020 06:08
510|634490880||3012|80|8|20/12/2020 17:37
511|346847786|70135128741443|9691|15|6|05/12/2020 17:54
512|528917774|56009202878471|7225|34|5|07/12/2020 21:32
513|322754996|54234890071552|9490|12|6|11/12/2020 01:27
514|112067555|21910886953667|3863|66|7|
515|820063929|12799209721440|3720|44|7|01/12/2020 02:08
516|699441845|11383112947117|2584|16|4|11/12/2020 07:45
517|858097133|32415313236235|2854|19|6|01/12/2020 09:21
518|437074112|72957448134782|8190|67|9|06/12/2020 22:08
519|327649796|17090976262350|9953|51|2|08/12/2020 16:12
520|272780312|29468892456022|9943|32|2|07/12/2020 01:06
521|738417266|21414532396279|4786|77|4|29/12/2020 13:32
522|675737201|72294418857417|4331|26|4|01/12/2020 02:43
523|568565992|53697773602083|2071|74|3|20/12/2020 12:05
524|270574175|75741257677727|6945|50|6|12/12/2020 10:54
525|160726137|46111163030042|8893|52|5|10/12/2020 06:29
526|629737427|34486472229245|5371|83|1|02/12/2020 17:18
527|615596901|83561099830213|3355|95|8|21/12/2020 16:07
528|483676443|36524832933245|5247|12|6|24/12/2020 22:41
529|455854827|21187200464362|1738|74|1|05/12/2020 13:26
530|855513198|63501630554421|3439|18|4|08/12/2020 04:57
531|871267752|74997804749608|5155|60|3|01/12/2020 03:59
532|482558800|55881770533711|4401|38|2|22/12/2020 08:15
533|427766127|76591667595423|8421|84|6|21/12/2020 12:31
534|259613233|39564155460480|8773|83|6|27/12/2020 12:31
535|971694998|49627334614983|1352|12|3|04/12/2020 03:58
536|756084416|83644398100163|7517|74|8|16/12/2020 12:50
537|178534177|21187111568851|2297|75|5|18/12/2020 18:33
538|491468709|79363611803881|3757|29|3|25/12/2020 12:32
539|349809385|53264870434797|7754|34|2|04/12/2020 17:58
540|943426113|49959530757911|3464|16|5|27/12/2020 11:15
541|371769355|48623625119173|2249|40|2|21/12/2020 15:31
542|146411249|77034311263960|1193|90|3|29/12/2020 01:16
543|459994413|76462242655798|6204|47|9|14/12/2020 04:03
544|953625054|67637642207282|4781|35|3|12/12/2020 15:53
545|541930287|34139818110772|1151|36|6|18/12/2020 12:18
546|939918089|14153264557371|2905|48|1|27/12/2020 09:20
547|725653444|98315890870015|7322|80|9|17/12/2020 08:07
548|553566833|65004710742692|1280|78|8|27/12/2020 21:33
549|766432872|34796433395916|6172|21|8|16/12/2020 12:32
550|492354597|27373478041199|2921|35|2|10/12/2020 02:06
551|923284099|12202050931873|3359|61|2|31/12/2020 04:15
552|784900077|46052683429844|5955|31|2|04/12/2020 05:18
553|459042639|13350680236206|2725|24|1|07/12/2020 03:26
554|769160709|46368397176822|2531|47|4|31/12/2020 17:20
555|781400555|62977231807485|1509|52|5|19/12/2020 19:35
556|371032048|67009192717612|2217|45|6|16/12/2020 18:05
557|767360629|57621591742123|6057|80|4|12/12/2020 20:53
558|178519696|35310232304350|9398|24|9|14/12/2020 17:14
559|752204580|12591860193317|3990|98|7|04/12/2020 05:40
560|305467856|50124089096743|5558|99|5|18/12/2020 10:27
561|479672465|30793507571082|2174|36|8|20/12/2020 04:01
562|719144794|20373768350479|5182|80|4|17/12/2020 23:31
563|423042322|96053936042672|4526|93|5|29/12/2020 17:50
564|445070980|41393724889722|4992|30|7|15/12/2020 09:40
565|527189240|52358465713523|2891|31|4|07/12/2020 03:29
566|821635431|52630500509038|1652|97|8|09/12/2020 13:50
567|686910691|46593479540556|5486|79|8|06/12/2020 13:15
568|884135872|42079126918235|7441|39|2|12/12/2020 12:18
569|424291174|80959672113858|7141|96|2|15/12/2020 16:12
570|524881209|37267974558251|8853|11|8|03/12/2020 18:08
571|285089492|56511734071127|7069|17|5|25/12/2020 08:34
572|302928152|27831906681473|4026|30|2|22/12/2020 03:31
573|630071599|86340070205369|3529|16|6|10/12/2020 14:43
574|889825093|97577774465456|3275|63|5|01/12/2020 09:47
575|915555875|17843309344055|6513|83|8|16/12/2020 13:45
576|783230561|18288940367427|2180|47|1|22/12/2020 11:10
577|885451972|81462154242313|4587|92|1|02/12/2020 13:53
578|259099308|18174041495573|4364|85|4|26/12/2020 06:02
579|454791391|24724760295559|9203|80|7|14/12/2020 04:35
580|932046126|97494978786397|8963|96|3|12/12/2020 18:36
581|925977201|22458731916811|7165|87|6|01/12/2020 05:55
582|891059587|73197330793106|3504|43|8|23/12/2020 01:51
583|171836122|74846156647782|5314|58|8|29/12/2020 14:02
584|698174222|45050509190132|9997|53|9|12/12/2020 13:03
585|566133360|54533899226724|8882|90|7|08/12/2020 07:29
586|610894874|66435938804506|2710|14|4|20/12/2020 17:59
587|117067173|54216668124838|6857|64|2|13/12/2020 11:15
588|905690643|87673205614861|3906|54|1|11/12/2020 02:09
589|661099117|67060209324106|4192|56|1|29/12/2020 07:40
590|778351493|63241957880079|4269|20|9|07/12/2020 07:28
591|678389551|85425775835069|2760|98|3|01/12/2020 14:43
592|989445815|46311933484512|4453|14|5|30/12/2020 00:22
593|169568629|73225438800640|9647|27|4|09/12/2020 02:15
594|284621580|57853338953355|2648|78|8|17/12/2020 23:09
595|741278388|55734657188715|9531|45|5|29/12/2020 06:24
596|462033369|48470079965618|6502|87|8|28/12/2020 12:45
597|539560417|59533444220459|1516|15|4|26/12/2020 09:34
598|502762681|54957339484313|7465|80|7|27/12/2020 01:55
599|721454657|81890714708860|8230|91|7|11/12/2020 15:10
600|728845969|71746273302205|2046|47|2|05/12/2020 00:06
601|687833942|38463928300162|6954|27|1|22/12/2020 05:53
602|776432202|99373329575819|7637|88|5|10/12/2020 16:51
603|548095562|46020938122885|6089|20|8|05/12/2020 21:05
604|578907686|25477352390476|1292|94|7|17/12/2020 11:48
605|207850628|73890230133520|3616|46|1|04/12/2020 13:44
606|738506049|79726934442950|9021|39|8|16/12/2020 02:42
607|837313676|72477155223941|3115|59|7|16/12/2020 10:15
608|137590866|20628542596415|4168|21|6|23/12/2020 20:15
609|127446656|97194462459467|9134|46|9|04/12/2020 15:19
610|670740098|56659353321644|9518|74|6|21/12/2020 03:16
611|870429137|93321821175698|5867|36|7|19/12/2020 23:44
612|206456930|31070952747224|1661|52|8|11/12/2020 22:29
613|688458967|44371015691039|3615|64|1|25/12/2020 14:36
614|859733764|52566880333779|3666|82|7|19/12/2020 03:10
615|248556365|11807780061320|9941|32|9|09/12/2020 14:40
616|312884545|38943185477567|8095|21|4|13/12/2020 04:31
617|584337229|58930462206885|8705|16|6|06/12/2020 09:01
618|669825324|56489389321088|6221|26|7|28/12/2020 20:05
619|793638184|73926571832988|4231|84|3|04/12/2020 19:32
620|283667246|27169947985208|5988|16|1|01/12/2020 16:21
621|620165298|25524188586677|7126|39|4|22/12/2020 14:09
622|639058193|79344297355417|5590|29|9|17/12/2020 23:15
623|189945798|80339628009431|3201|76|3|10/12/2020 03:39
