id|imsi|imei|cell|lac|event_type|event_ts
956|422157249|98419156070697|7110|22|3|24/12/2020 10:41
957||86986191510794|2712|92|5|23/12/2020 16:49
958|477241951|96753157888372|5690|18|6|23/12/2020 14:44
959|582750206|83163082029308|9796|24|9|06/12/2020 06:22
960|681899116|81603269808389|4584|33|6|25/12/2020 04:25
961|564661683|91900448839418|6665|73|9|22/12/2020 06:20
962|848285108|73043362302848|2134|26|1|07/12/2020 21:24
963|474873464||9607|95|2|17/12/2020 23:18
964|494169291|58463796599155|5576|22|3|28/12/2020 07:32
965|361321313|82744431083973|2737|95|9|03/12/2020 13:20
966|915929995|91411382402924|1566|94|9|22/12/2020 03:58
967|415032099|18460678451726|6936|62|7|10/12/2020 06:36
968|622466601|96575959364633|7829|32|2|15/12/2020 15:09
969|499557494|96816104887479|4675|28|4|09/12/2020 22:07
970|310796811|90939204707165||64|7|08/12/2020 07:45
971|669923153|48936323967455|4982|79|1|19/12/2020 15:29
972|134826954|22984477626918|3463|82|3|10/12/2020 04:18
973|944340218|61961742603373|4326|26|4|16/12/2020 02:44
974|691663926|45279125431536|3344|88||20/12/2020 06:20
975|813466578|16724581430196|3096|80|6|13/12/2020 18:10
976|696883210|40304800874940|2504|89|4|16/12/2020 06:23
977|848224380|19054764392142|2868|62|8|14/12/2020 14:45
978|581150623|84590883224137|3038|72|1|15/12/2020 21:53
979|558917470|90453857631550|2892|40|2|29/12/2020 21:41
980|738536982|76319875781570|3226|11|8|07/12/2020 13:53
981|123530219|11396177740407|6285|26|9|
982|815153115|50545600867078|2042|94|9|07/12/2020 22:25
983|377256166|65062894382071|6392|11|6|11/12/2020 05:20
984|961913688|60678087078420||60|4|11/12/2020 17:40
985|921292702|86683958937131|1208|85|7|15/12/2020 11:25
986|116313460|40891205520629|2756|75|2|02/12/2020 19:40
987|197660293|72090049730375|3753|95|4|17/12/2020 03:42
988||26825588111880|4079|14|4|10/12/2020 15:45
989|384552986|31359845501141|1807|76|1|
990|955706383|13228315073537|6786|34|3|02/12/2020 17:31
991|935690680|19153173103908|6758|83|2|11/12/2020 22:24
992|643964729|14251957344588|5809|46|4|19/12/2020 09:29
993|733113926||2642|59|8|18/12/2020 03:32
994|729233787|88116218716855|7840|99|5|08/12/2020 12:24
995|793279508|16837685769662|5399|35|5|31/12/2020 03:37
996|844141208|31632222821568|1167|38|5|12/12/2020 23:23
997|487842957|92011250402623|8682|80|5|19/12/2020 07:30
998|282769893|40499381931924|4735|44|5|23/12/2020 15:59
999|556283138|86226594514096|8974|54|1|15/12/2020 16:37
1000|130052818|52612066218753|6164|31|2|21/12/2020 16:36
1001|194571022||3360|26|6|17/12/2020 07:46
1002|217123588|40749679960324|4170|96|4|30/12/2020 03:18
1003|737676094|63909303136632|3853|29|3|29/12/2020 15:55
1004|162003961|61360918543403|9688|54|9|26/12/2020 10:10
1005|236415230|82263966169331|9693|86|6|
1006|405380412|16418723613431|7332|27|9|11/12/2020 22:56
1007|774627127|22893653558012|8312|78|1|29/12/2020 23:24
1008|678396932|93267816355268|4850|31|4|03/12/2020 10:23
1009|852982614|54259421898427|2925|94|9|04/12/2020 20:30
1010|159408732|55397948932649|5787|75|5|27/12/2020 07:35
1011|828365074|56142116441180|6143|99|9|04/12/2020 21:07
1012|465438085|44738032017465|6600|81|2|16/12/2020 09:20
1013|598224730|50802891461953|8969|58|8|04/12/2020 12:38
1014|770913771|51796025736536|8356|96|1|14/12/2020 16:13
1015|722907213|61386704195108|9575|28|5|26/12/2020 02:18
1016|704386596|44482386915567|5948|44|6|18/12/2020 03:49
1017|733146594|83103880698074|6730|30|1|07/12/2020 06:00
1018|150515694|24995483456793|5637|89|5|29/12/2020 12:33
1019|146833408|72747042946527|2735|81|8|29/12/2020 13:58
1020|239419836|23478215608385|4804|85|6|23/12/2020 13:42
1021|166492491|15109433398093|3130|12|8|15/12/2020 02:44
1022|177242923|58249452553910|8829|22|5|20/12/2020 09:18
1023|472283411|13286728463529|6090|39|8|23/12/2020 11:48
1024|863103926|44146298228728|5009|36|5|31/12/2020 01:28
1025|246319470|53505844243900|4683|96|7|16/12/2020 06:53
1026|741579506|83149784671536|4941|48|3|20/12/2020 03:31
1027|478378484|82848310197596|2272|42|3|09/12/2020 23:15
1028|950943947|48619082306478|5463|86|3|12/12/2020 02:57
1029|936481610|99053416637559|5089|98|6|03/12/2020 20:28
1030|874137122|49609584619689|4038|50|2|06/12/2020 02:16
1031|719254406|13239857681042|3370|83|9|19/12/2020 01:30
1032|596632910|36606517525731|7095|89|9|26/12/2020 10:31
1033|814748065|62335931223401|8702|99|2|04/12/2020 21:25
1034|331282628|90044260053920|7291|43|1|22/12/2020 10:50
1035|486860568||5828|44|7|15/12/2020 05:45
1036|129162825|70145811555989|9962|16|2|18/12/2020 04:18
1037|966654829|48335423758965|8160|98|9|03/12/2020 06:38
1038|206328775|43021165544030|6890|47|6|12/12/2020 03:12
1039|295261582|38326626647002|7341|92|3|17/12/2020 11:08
1040|261856816|41392708407020||57|2|10/12/2020 23:52
1041|301288014|59397426855936|5310|80|8|18/12/2020 05:53
1042|222316055|38363826906821|3875|31|3|12/12/2020 22:52
1043|157376674|79836231597042|5452|11|7|06/12/2020 16:06
1044|557893751|22900949776723|9030|56|4|30/12/2020 01:07
1045|822108429|89580092958876|7327|19|7|20/12/2020 23:16
1046|403557206|61226749999857|2153|72|5|18/12/2020 05:11
1047|231334594|17158674809432|1628|60|4|18/12/2020 13:23
1048|784646708|68914863664518|4152|25|5|17/12/2020 01:51
1049|685591275|74915964625874|1561|68|4|10/12/2020 18:25
1050|513664695|77684059660583|9668|71|8|09/12/2020 00:46
1051|296641975|57165731582823|1578|62|8|19/12/2020 15:32
1052|341722286|17562357644098|7969|58|9|30/12/2020 19:06
1053|876330132|62584321923889|2581|94|4|23/12/2020 04:08
1054|113134220|27154959522358|2397|85|5|26/12/2020 13:48
1055|314335302|20429119755697|1247|88|3|07/12/2020 15:12
1056|267761910|43063083500352|4376|97|4|31/12/2020 07:58
1057|768624114|56707340355527|6585|74|9|18/12/2020 16:37
1058|780668046|87247759623173|1325|93|8|27/12/2020 08:49
1059|795190178|45001464849052|7322|93|1|13/12/2020 18:16
1060|485957050|20726193100812|2265|55|5|10/12/2020 10:27
1061|980218737|15235437789771|1928|19|4|15/12/2020 06:58
1062|972299392|60402075541129|8915|29|8|
1063|499554047|60918817811052|6962|59|9|03/12/2020 07:36
1064|214847922|90928096492364|5834|72|1|12/12/2020 08:12
1065|668333098|66682252584974|5118|75|9|31/12/2020 01:34
1066|245747791|54855170155800|7913|71|8|05/12/2020 20:08
1067|987713353|29636310721717|9929|41|3|30/12/2020 21:54
1068|753624452|52008169331594|6581|82|8|02/12/2020 22:16
1069|219805502|84806577882988|7574|96|7|14/12/2020 20:03
1070|787901187|39891222755528|5918|87|7|26/12/2020 22:14
1071|927767053|32967770090484|4789|70|2|16/12/2020 02:38
1072|898929387|36724447438936|6290|94|4|10/12/2020 03:41
1073|813609572|47290663276013|5057|23|4|11/12/2020 17:43
1074|228656373||4509|90|8|10/12/2020 20:18
1075|641419407|19373314637795|5649|68|2|23/12/2020 17:12
1076|839695636|91932139538943|2410|77|1|26/12/2020 20:51
1077|278315844|29145138028159|9473|39|7|31/12/2020 23:27
1078|261085508|11953297445912|7138|59|7|26/12/2020 15:20
1079|468834233|39422235453833|2021|46|4|08/12/2020 01:03
1080|680724858|86700687929615|9542|67|7|15/12/2020 23:03
1081|303434082|36075120985926|9316|28|5|24/12/2020 18:33
1082|306372069|79757846358622|4736|40|4|06/12/2020 02:12
1083|147236997|61947843464235|8681|56|1|22/12/2020 22:31
1084|816558901|40666644424597|2039|60|1|21/12/2020 12:18
1085|188254949|86520037247852|7619|98|8|07/12/2020 11:51
1086|879687013|76496582219569|8200|97|4|21/12/2020 14:28
1087|933788233|70903457936252|8967|80|5|04/12/2020 00:05
1088|192370597|63837498152397|8422|58|6|25/12/2020 22:44
1089|628617363|45543649979818|9768|19|5|19/12/2020 21:22
1090|853742692|46492205171411|3263|14|4|23/12/2020 03:51
1091|121328740|56042839513036|2101|92|3|08/12/2020 21:23
1092|231659301|35555606190156|8190|96|3|28/12/2020 22:41
1093|179059259|65075022189052|9863|60|4|30/12/2020 10:30
1094|420930969|21868282295535|7487|63|3|22/12/2020 10:57
1095|981489924|97138645749405|5026|83|7|05/12/2020 01:58
1096|547029042|28984021690026|6709|44|1|03/12/2020 15:53
1097|334505370|58789989355226|5050|70|2|28/12/2020 18:41
1098|972608544|22352533980558|2257|81|4|15/12/2020 09:44
1099|822648481|54044614870606|4141|95|1|11/12/2020 08:11
1100|414397789|98725713656871|3033|16|7|03/12/2020 10:04
1101|163713978|86978332271273|1616|95|8|17/12/2020 14:53
1102|192919899|75389479902435|2202|85|1|07/12/2020 19:06
1103|188608436|52288014062016|9024|92|9|16/12/2020 20:24
1104|956759482|97117287004275|1647|36|4|10/12/2020 13:52
1105|517277321|22741640939940|9097|21|9|29/12/2020 07:16
1106|737042858|58003510485320|1882|54|2|26/12/2020 05:21
1107|424744750|73183291056496|9000|51|2|18/12/2020 22:35
1108|822194701|59520067887450|7073|31|4|15/12/2020 11:46
