id|imsi|imei|cell|lac|event_type|event_ts
215|137475595|34825993249153|9204|82|9|25/12/2020 17:16
216||15652863633682|2942|62|2|13/12/2020 06:14
217|367751970|28601840405419|3328|14|8|05/12/2020 23:05
218|175011779|12593502388729|9130|17|4|09/12/2020 16:05
219|795186189|18549025039314|6824|17|5|07/12/2020 23:49
220|281719733|24200151385626|4648|88|7|01/12/2020 19:41
221|581633609|20161963743008|9227|20|4|27/12/2020 15:09
222|485042228||1833|13|2|15/12/2020 05:56
223|380359525|43849096796667|1734|83|9|24/12/2020 15:49
224|957854294|96191773995416|1368|98|4|25/12/2020 13:49
225|325699901|48550835966890|2244|54|9|10/12/2020 11:38
226|151797381|98385544965405|2560|24|3|25/12/2020 02:56
227|533551178|29361437810137|8816|52|3|22/12/2020 22:47
228|311224289|71527497312341|5607|43|4|26/12/2020 03:26
229|201552036|27110303430615||12|1|17/12/2020 03:51
230|729860706||3868|87|6|08/12/2020 22:35
231|623261021|82940729616084|7530|46|1|27/12/2020 03:15
232|482613120|63535118203326|5352|87|3|31/12/2020 12:18
233|324948773|80924339902442|2446|19||01/12/2020 02:16
234|221673055|88671275702204|5710|67|5|13/12/2020 21:39
235|697067929|40045343861457|1304|86|5|09/12/2020 20:21
236|894502786|12836632559472|9543|40|8|13/12/2020 22:58
237|710615784|19790647835581|9127|85|8|06/12/2020 02:37
238|432317309|17332452132714|6925|36|4|17/12/2020 21:39
239|571356082|18127033621310|6720|89|1|05/12/2020 09:43
240|368498369|39692996423371|9107|77|4|
241|372203840|65352736079041|3582|13|1|23/12/2020 08:31
242|574290263|11611846102554|6697|66|2|12/12/2020 00:23
243|304976801|69127365842809||62|1|13/12/2020 16:11
244|383555897|22078521794519|3970|74|9|21/12/2020 22:07
245|922186136|76543842232089|6975|71|2|23/12/2020 02:32
246|852556498|32767700944614|2644|34|9|04/12/2020 18:06
247||63513716361642|8675|44|8|08/12/2020 21:24
248|408540625|80035859053444|1335|62|5|
249|655320996|75073389228195|1116|72|7|12/12/2020 21:25
250|521659695|88306567709636|8359|39|6|04/12/2020 09:36
251|205780774|93365967410151|2683|15|9|31/12/2020 17:04
252|323292918||9641|69|2|03/12/2020 16:13
253|472612037|67833287808941|4972|92|3|06/12/2020 01:16
254|214581239|55145267918647|3834|24|3|04/12/2020 02:40
255|116322813|13396365272428|4544|60|7|31/12/2020 00:21
256|841735203|61210872221405|7582|41|7|04/12/2020 19:30
257|483897486|46273326156916|5896|84|7|19/12/2020 14:50
258|319117560|40731131385458|2740|31|6|03/12/2020 01:36
259|936119427|31517096416669|5453|55|8|04/12/2020 13:57
260|897231071||9105|86|6|21/12/2020 15:47
261|784610253|49966687107838|6334|21|5|23/12/2020 06:13
262|694837528|61979996891611|7053|48|2|04/12/2020 02:05
263|598036092|24358370718723|7145|49|8|20/12/2020 04:32
264|439661724|71236635024104|6788|77|4|
265|658392799|37355997772351|8695|53|8|04/12/2020 23:20
266|373293716|60505842465331|6051|79|9|08/12/2020 18:52
267|167641524|58011335278069|9285|31|4|26/12/2020 11:04
268|815467021|49058046744293|9956|75|6|12/12/2020 00:36
269|335842093|69183995066054|9410|66|5|14/12/2020 21:07
270|289995591|24406886286843|5090|86|1|24/12/2020 08:21
271|341885417|75547488349992|9753|24|6|15/12/2020 22:28
272|438518053|50529971426651|1935|13|7|10/12/2020 01:01
273|649556306|46773848524624|8751|39|9|22/12/2020 06:23
274|262665766|19197081141157|5169|70|3|17/12/2020 06:49
275|758293840|18350587994455|7915|21|1|19/12/2020 23:47
276|582015072|49506402503996|1825|22|1|22/12/2020 07:11
277|148821589|88465133541069|5554|61|6|04/12/2020 21:21
278|873986249|55275059776411|2187|22|4|22/12/2020 03:14
279|309014585|45370351046732|2902|78|6|07/12/2020 08:43
280|558656824|60421311499665|3291|54|9|27/12/2020 21:44
281|117731497|23115616253505|6640|91|3|22/12/2020 10:59
282|194058933|46761363222936|7624|21|8|05/12/2020 20:52
283|486294671|88452559297241|4135|41|2|07/12/2020 12:33
284|685489362|13830633411107|6823|98|5|29/12/2020 19:02
285|505760906|18630012928219|4621|20|5|02/12/2020 00:07
286|187552645|23666730547915|4148|47|5|13/12/2020 17:31
287|348233953|36609039197399|9507|88|2|28/12/2020 10:56
288|422130967|56546639646239|5065|90|3|07/12/2020 06:06
289|468836757|37923473222193|8018|57|3|02/12/2020 17:07
290|299417119|99347324294387|9475|85|9|30/12/2020 10:02
291|737181216|44800845131007|7613|45|6|22/12/2020 17:58
292|669755267|21890786259480|7054|54|4|09/12/2020 05:56
293|342460096|85514332574476|5250|15|6|19/12/2020 10:54
294|252173082|46153949961917|4030|74|8|27/12/2020 01:19
295|994454402|38945857548433|4486|47|5|19/12/2020 17:08
296|396117594|81600757416425|1502|72|8|20/12/2020 12:12
297|177024319|58580541241899|3675|31|7|09/12/2020 20:35
298|655048710|40697626171894|8034|50|3|07/12/2020 21:53
299|603407202|72745484036787|4435|81|4|12/12/2020 07:20
300|885561653|55694494475995|3200|79|6|13/12/2020 05:05
301|523034364|20991798816443|7193|96|4|31/12/2020 09:41
302|374665428|80752671129769|7310|33|6|01/12/2020 15:55
303|527491626|37475068746191|3248|29|9|01/12/2020 05:11
304|144678172|64952602735253|9118|80|8|14/12/2020 08:58
305|785039149|55680144546280|7354|52|9|28/12/2020 15:12
306|936213604|22273348640972|1517|12|2|26/12/2020 15:24
307|525810688|53698418895136|8057|98|3|02/12/2020 13:14
308|833890174|46728981435296|8550|61|6|28/12/2020 11:07
309||38861728549264|6265|13|7|31/12/2020 13:40
310|372975795|19149750834265|4784|95|7|24/12/2020 20:48
311|535868513|63368272218508|7293|45|7|11/12/2020 01:52
312|307037866|12646750496966|1261|84|7|07/12/2020 02:57
313|401603581|99534254089929|4942||8|25/12/2020 19:27
314|327029931|49070133622067|1329|37|1|10/12/2020 20:08
315|729700630|67489993332607|7686|75|9|29/12/2020 10:58
316|942791946||4566|18|3|12/12/2020 09:52
317|684669666|73372680477426|9081|32|9|14/12/2020 21:56
318|244298047|61073367787715|5276|42|4|23/12/2020 12:50
319|521135055|25418484550397|8504|95|7|21/12/2020 19:25
320|652927575|20004724996849|4086|82|3|04/12/2020 01:46
321|673927682|87664499364062|9674|19|5|20/12/2020 06:05
322|260882755|89265184453857|7375|76|6|19/12/2020 21:04
323|432360190|77726108466815|4223|58|1|17/12/2020 08:13
324|311452997|37247158744870|4117|81|2|31/12/2020 20:25
325|777674361|41510769128288|3581|12|5|23/12/2020 02:34
326|837816847|55003151434837|5546|80|5|06/12/2020 09:34
327|234558672|56579506514966|8528|60|1|09/12/2020 03:54
328|163288099|86353189072038|4442|76|3|01/12/2020 20:07
329|888998561|82111260045070|2947|82|4|28/12/2020 07:43
330|175232378|32610441359275|5726|46|4|26/12/2020 12:43
331|449335424|37400706597021|4181|88|7|09/12/2020 03:14
332|262605622|16363495049894|3782|29|9|20/12/2020 10:34
333|818533084|24388507576173|6845|83|7|19/12/2020 04:39
334|975145638|47710753998496|3594|49|4|15/12/2020 19:24
335|529457071|93633575937626|9599|26|5|14/12/2020 00:19
336|730693544|59945638689705|2964|85|7|11/12/2020 13:11
337|345338047|66791966024928|7223|46|6|05/12/2020 00:33
338|203444980|99657691093312|8050|83|8|01/12/2020 05:19
339|987183512|29585784540984|6474|22|1|26/12/2020 12:41
340|952820853|48985438394935|8160|85|2|13/12/2020 18:43
341|778489910|18728238100790|9603|49|9|01/12/2020 07:22
342|369641151|43180462619221|5032|44|7|06/12/2020 12:24
343|997543989|92520546598359|2279|56|4|03/12/2020 15:25
344|530924090|45932874503033|8979|57|7|05/12/2020 10:48
345|947692319|27171784167859|7396|78|8|11/12/2020 02:01
346|927486261|98794632869814|2837|74|9|05/12/2020 09:16
347|328890348|26142477344809|4739|63|5|23/12/2020 00:45
