id|imsi|imei|cell|lac|event_type|event_ts
21|919106573|45733001204328|7222|25|7|12/12/2020 13:34
22||68547344166825|8990|92|2|19/12/2020 21:50
23|835424796|62162024888469|7274|70|2|30/12/2020 17:47
24|222893094|17771944686777|1562|66|6|01/12/2020 22:41
25|461051324|40606919916129|7752|19|4|03/12/2020 16:15
26|720757084|25013697194348|8077|17|4|08/12/2020 06:46
27|236344683|49328828635988|6338|45|6|29/12/2020 09:22
28|784945175||9400|76|8|02/12/2020 14:52
29|119542887|82869466945041|1531|59|1|14/12/2020 19:51
30|849972555|50727670795124|9096|46|2|13/12/2020 04:35
31|792091065|35019495356999|8857|12|8|31/12/2020 00:52
32|402356311|23473130966260|7247|80|7|06/12/2020 21:21
33|808330913|62498455695850|7971|61|7|07/12/2020 15:34
34|921886125|78819153626644|4713|92|4|09/12/2020 03:00
35|921426521|70561090984039||22|6|24/12/2020 04:33
36|159924061|39237950374243|8606|18|7|18/12/2020 22:05
37|514676156|35997378259192|6775|60|1|31/12/2020 19:49
38|566448012|68076678871904|1446|17|7|14/12/2020 11:16
39|567472375|92654247804621|9235|95||09/12/2020 02:27
40|119413909|28073361766358|8864|37|8|04/12/2020 14:15
41|466712790|91034415284135|1631|80|1|30/12/2020 22:27
42|693147941|78473299727319|4372|91|1|11/12/2020 21:14
43|768815301|23379379047657|4594|26|2|29/12/2020 18:58
44|276929095|72716034970648|3682|57|6|25/12/2020 16:21
45|449614696|44222125317988|9239|71|4|20/12/2020 18:03
46|438716128|35235874504853|7910|19|4|
47|727686449|55135179592174|7214|46|2|21/12/2020 17:26
48|783703377|54804787586106|3375|12|8|10/12/2020 06:15
49|777300323|44177802151493||75|7|17/12/2020 22:44
50|493189192|56635785123699|8494|92|4|30/12/2020 11:15
51|194592422|24178634182075|5274|14|8|24/12/2020 18:09
52|125049526|71066023486919|5283|11|2|04/12/2020 13:19
53||20517647421252|5050|79|4|03/12/2020 13:55
54|972985395|57872778168849|2889|14|6|
55|726862216|96787635286061|7826|19|2|22/12/2020 06:52
56|698885889|70907196243501|8509|34|2|03/12/2020 17:58
57|656592678|96074142237694|3803|29|5|28/12/2020 18:09
58|738433789||3912|74|6|07/12/2020 08:08
59|568311040|47532387704499|1571|12|3|05/12/2020 20:57
60|185289617|16520390468037|8445|51|5|26/12/2020 13:07
61|645205412|43217501171058|7887|16|7|25/12/2020 02:29
62|870080743|58593050311066|3032|74|9|21/12/2020 22:32
63|376533002|55564650150504|8466|29|7|25/12/2020 17:12
64|563515095|96514362624978|7875|32|2|11/12/2020 20:26
65|768169354|45234467979255|4093|83|8|10/12/2020 07:49
66|179681542||6275|87|2|03/12/2020 13:35
67|672059394|21462625634472|8523|57|7|19/12/2020 02:36
68|479226452|17039919826879|1758|77|4|22/12/2020 04:56
69|594968337|88655446894768|6871|91|8|10/12/2020 03:43
70|212449600|24296051122232|4147|42|6|
71|852526036|88623566972849|5773|93|2|31/12/2020 06:35
72|749481290|13505465262650|7751|65|4|06/12/2020 11:23
73|307981288|28004745810677|3948|54|9|20/12/2020 04:23
74|629248496|28845117595902|1190|24|7|14/12/2020 21:54
75|465740306|12394180737310|9411|54|5|23/12/2020 23:49
76|483502409|52680550811270|4749|97|4|30/12/2020 11:49
77|189302249|38106088720594|2969|89|9|31/12/2020 15:32
78|367677888|97378430298787|1958|76|5|24/12/2020 00:37
79||90578006946301|7665|94|6|29/12/2020 19:32
80|667521429|85204151750270|1361|45|9|12/12/2020 10:41
81|927929465|28300853666442|8376|13|3|29/12/2020 22:08
82|942807275|62574546804120|3041|34|2|19/12/2020 19:56
83|840781897|43125330341236|6726|51|5|31/12/2020 11:32
84|441301977|30218996816476|8448|37|5|20/12/2020 03:03
85|429294991||6837|32|6|16/12/2020 10:52
86|571817967|57056887243737|2622|22|7|20/12/2020 02:34
87|234713364|19287562326240|1413|27|8|29/12/2020 08:47
88|688653013|52266198214694|9649|16|9|08/12/2020 22:11
89|398964067|88330880273276|6633|16|4|21/12/2020 11:16
90|507542908|47201257876141|4336|70|6|27/12/2020 05:49
91|722919415|51254990351858|7575||8|23/12/2020 02:38
92|545867122|83263978886697|9260|84|5|10/12/2020 01:12
93|133940837|25809060493442|6408|53|6|16/12/2020 22:29
94|415852388|92397701821080|7779|96|8|28/12/2020 03:28
95|162820224|35481558841903|3945|37|8|29/12/2020 03:55
96|421433379|92500015221487|5491|87|4|01/12/2020 21:25
97|230978423|34042817151282|4349|58|2|03/12/2020 00:01
98|450579861|91464728272911|1680|92|9|08/12/2020 08:11
99|477053185|64372698012387|1342|74|9|08/12/2020 00:18
100|724993174|25165801572134|3873|35|3|21/12/2020 12:42
101|723164205|54841420573216|9991|58|4|17/12/2020 23:22
102|561891853||7662|93|2|06/12/2020 00:02
103|620659710|97712628876752|7731|73|4|26/12/2020 03:41
104|960077615|21760622392748|6987|77|5|12/12/2020 16:17
105|544752331|14016268389902|5563|27|7|24/12/2020 02:11
106|608911993|22287499678170|4281|27|6|01/12/2020 22:04
107|917471850|85811976052878|8397|56|1|12/12/2020 17:17
108|333897000|53543536611227|8533|14|4|09/12/2020 00:48
109|484515485|48148933695208|8338|56|3|24/12/2020 21:47
110|990447596|42706484515265|2674|79|8|27/12/2020 09:14
111|268808809|46918430643741|2146|69|3|23/12/2020 14:01
112|587323314|34441050662147|3407|11|1|30/12/2020 13:00
113|882778448|41709802849082|6684|64|3|26/12/2020 20:57
114|523057139|29848098564671|9695|34|7|12/12/2020 19:52
115|815557090|60806920208070|6281|71|6|24/12/2020 14:39
116|825973495|23452628358263|2447|90|3|15/12/2020 08:04
117|581621542|44542637501777|9380|11|8|16/12/2020 07:23
118|486242786|75087503420311|9358|95|2|26/12/2020 15:53
119|219809368|94940792654749|5746|91|9|26/12/2020 04:29
