id|imsi|imei|cell|lac|event_type|event_ts
1202|723524524|33912485220641|6438|48|8|07/12/2020 08:56
1203||61196399377471|9126|69|3|31/12/2020 18:43
1204|903379399|27595169731975|9218|34|4|27/12/2020 22:15
1205|725403895|61953831567185|1923|32|4|14/12/2020 02:23
1206|733721686|71482637150554|7810|39|6|03/12/2020 04:59
1207|307177069|75853288222793|9382|51|5|26/12/2020 22:18
1208|485808194|16486825847463|8628|96|3|01/12/2020 08:47
1209|871144685||8839|32|5|30/12/2020 05:59
1210|742356517|25953166620784|3891|61|8|25/12/2020 10:17
1211|744467609|30996237785820|4730|31|8|18/12/2020 00:38
1212|547160354|68428660700489|2127|41|9|31/12/2020 12:51
1213|550574324|11944849336888|3626|96|1|06/12/2020 07:46
1214|338918116|96835060212070|5268|47|2|29/12/2020 23:53
1215|659499835|45731686784804|6384|13|3|29/12/2020 18:00
1216|284427635|17749369893162||51|1|31/12/2020 09:28
1217|162787150|73922725020766|9634|90|2|25/12/2020 19:38
1218|574185248|16018252478173|9875|58|8|29/12/2020 02:24
1219|205985353|60051117018189|8938|20|5|04/12/2020 12:48
1220|505622938|81729587475916|7158|86||28/12/2020 18:59
1221|740190034|35861025046870|1375|15|2|25/12/2020 06:27
1222|168939813|24837321527445|1436|70|9|04/12/2020 20:42
1223|845244444|70737852339208|5997|77|1|04/12/2020 07:25
1224|164429198|43377205466161|9122|95|3|26/12/2020 12:40
1225|471844757|98229188430925|3857|77|3|18/12/2020 18:28
1226|263241857|73005091500648|2677|87|8|06/12/2020 19:26
1227|790500975|98870639316036|7817|80|5|
1228|164921619|60601115008604|5527|70|6|19/12/2020 09:31
1229|873215453|83736741604318|9256|42|1|06/12/2020 06:15
1230|777031155|94925887944782||61|3|27/12/2020 21:04
1231|173431854|88747414475630|5462|13|8|01/12/2020 00:43
1232|556968026|41453636477496|5211|38|7|20/12/2020 23:53
1233|487352370|91215542707843|6751|48|5|08/12/2020 11:52
1234||19278729248999|4300|43|4|21/12/2020 09:55
1235|196678682|16876722597747|2219|94|1|
1236|925604231|39274294394470|2186|19|3|03/12/2020 13:16
1237|287320723|58300289634102|4029|56|9|10/12/2020 20:04
1238|292258872|78792375465707|4086|64|7|18/12/2020 22:02
1239|867288361||5339|25|5|11/12/2020 20:07
1240|345642798|39345880013171|8126|32|5|25/12/2020 10:53
1241|437044768|39913610882160|4064|50|2|24/12/2020 07:58
1242|892477670|69754986511260|7762|30|6|04/12/2020 14:16
1243|483160472|59702073810630|4078|11|4|24/12/2020 20:24
1244|518593350|84274533745357|3919|76|1|09/12/2020 08:34
1245|323274578|92079308388919|6389|57|8|29/12/2020 21:13
1246|895405257|12418145805870|7313|69|8|01/12/2020 08:09
1247|449097542||5686|50|6|29/12/2020 13:36
1248|785071982|77777357837597|6762|16|1|09/12/2020 12:31
1249|683412626|47333645303036|2906|17|4|18/12/2020 09:44
1250|710240097|11655755317195|3932|52|2|14/12/2020 04:55
1251|812770252|90296487154770|4485|29|9|
1252|527978555|22930467689582|1499|24|4|12/12/2020 19:38
1253|699041769|21015005852724|8609|54|9|07/12/2020 10:12
1254|570053641|55857151181504|9373|68|5|07/12/2020 07:51
1255|788777473|83936911917841|8220|42|4|24/12/2020 13:55
1256|206154475|53433855943343|2447|92|5|23/12/2020 08:14
1257|629150463|35568290141301|4962|20|8|07/12/2020 16:29
1258|820826354|15467768318706|7170|67|5|28/12/2020 00:26
1259|960250540|83816782710067|1670|32|2|24/12/2020 09:40
1260|528306543|41567176560111|8506|88|9|18/12/2020 06:08
1261|471764717|51353963071832|7650|72|1|12/12/2020 13:41
1262|792868217|88596684642297|7968|34|9|19/12/2020 09:12
1263|130315740|63037808550665|6240|88|2|22/12/2020 19:32
1264|411685052|68270556209993|2700|47|1|18/12/2020 10:10
1265|721863090|76862740576794|9295|23|1|14/12/2020 16:51
1266|975256187|99396597831930|4690|16|1|30/12/2020 07:25
1267|358764394|87954271662363|6242|48|5|12/12/2020 04:07
1268|853434584|16681944283765|6360|51|7|18/12/2020 04:03
1269|304474845|39423762919623|8541|99|1|06/12/2020 08:49
1270|497271926|76811040669943|3943|79|4|09/12/2020 20:30
1271|990192303|62931188692669|9751|95|5|12/12/2020 06:49
1272|434557239|40954348858975|6980|48|7|25/12/2020 01:04
1273|613607756|97669143080437|5300|88|3|13/12/2020 08:16
1274|138385762|14160161352418|2626|87|4|22/12/2020 22:37
1275|145087741|14755874768421|8698|66|8|03/12/2020 13:46
1276|318003016|58671955053152|5684|58|1|27/12/2020 07:09
1277|687753708|75678682662198|8075|47|1|15/12/2020 13:41
1278|807828327|94385601079434|4038|56|4|03/12/2020 11:50
1279|631267796|60538770469956|4648|69|6|13/12/2020 21:56
1280|577205024|89938240840232|2668|42|9|16/12/2020 17:42
1281|833350828|83243993340496|4437|64|1|19/12/2020 14:14
1282|363751501|96968597630428|6612|31|6|29/12/2020 15:59
1283|305782456|76358766293245|4966|44|6|23/12/2020 01:35
1284|953974476|90091753843500|9512|51|2|03/12/2020 00:43
1285|585019670|32128967727441|6295|59|8|12/12/2020 03:22
1286|419785959|22916677531395|9538|39|7|02/12/2020 07:01
1287|268061481|27858309214685|3568|52|4|03/12/2020 22:58
1288|168976852|41182549268115|3300|15|1|16/12/2020 15:50
1289|608395423|11792322182046|5527|98|4|04/12/2020 06:49
1290|352533946|75729227031608|5402|51|8|08/12/2020 09:50
1291|418371243|84336631143482|4921|39|9|03/12/2020 01:03
1292|182815269|41430440089069|7771|28|3|28/12/2020 20:25
1293|668831328|35372105932852|5627|43|7|05/12/2020 12:30
1294|935520156|19185901188089|4779|62|2|12/12/2020 13:03
1295|658722035|19155505746238|3019|97|8|06/12/2020 07:44
1296|929767491|88705731553103|7990|22|4|29/12/2020 00:53
1297|617110284|64392853615366|7074|11|5|17/12/2020 23:25
