id|imsi|imei|cell|lac|event_type|event_ts
2432|116013760|96553116459881|5899|89|6|07/12/2020 12:25
2433||93884196732342|8790|77|6|24/12/2020 22:09
2434|576703818|51109539689052|5172|11|5|25/12/2020 11:04
2435|237593236|72820876836650|3518|67|3|02/12/2020 23:30
2436|657780635|63207393604911|8920|50|9|02/12/2020 11:38
2437|956771450|17863775010277|3982|94|3|27/12/2020 22:10
2438|967026063|84153557557914|3446|19|6|20/12/2020 18:09
2439|991185230||2453|59|2|16/12/2020 14:05
2440|392404133|31503530644966|2357|48|5|24/12/2020 20:30
2441|840464303|67830894961060|7926|49|8|29/12/2020 04:54
2442|394175105|24351483072471|3506|30|1|28/12/2020 20:02
2443|807606861|16038177103769|1188|46|5|24/12/2020 02:03
2444|130608329|43487581745489|8293|92|2|26/12/2020 15:27
2445|817425060|50703982347986|7402|70|6|20/12/2020 05:37
2446|692701529|11455231731084||23|8|02/12/2020 00:46
2447|897755255|24441628754818|7035|47|2|25/12/2020 07:06
2448|317670789|11846858463184|9323|64|9|13/12/2020 01:57
2449|961927186|94901073149219|9000|23|4|24/12/2020 10:06
2450|389696088|55346147622737|8265|48||12/12/2020 10:35
2451|422482810|37757031783061|6197|83|3|24/12/2020 20:19
2452|314739289|99401800190253|1236|94|4|10/12/2020 13:39
2453||57468394474488|2993|34|4|05/12/2020 01:57
2454|412636112|22048971650057|3958|84|1|05/12/2020 01:32
2455|626257591|45618744707450|6850|42|3|01/12/2020 09:24
2456|852190787|41182540551983|6634|21|8|22/12/2020 19:00
2457|922003121|34295901613274|2488|21|4|
2458|699903219|45220106162951|6861|48|7|22/12/2020 04:49
2459|850606030|78434201570371|8578|57|1|29/12/2020 04:35
2460|292775453|42748813402857||69|1|17/12/2020 19:02
2461|467121534|40044029924771|5572|71|1|11/12/2020 08:21
2462|569264732|30685806596184|3487|54|8|14/12/2020 11:57
2463|560544358|51645117416873|7774|69|3|02/12/2020 07:20
2464||98773522216306|7108|39|3|20/12/2020 21:33
2465|679194618|37257122288913|5910|81|4|
2466|923127176|68446164918068|9463|61|7|09/12/2020 05:05
2467|226613240|54564598801887|4045|58|5|07/12/2020 14:50
2468|764845439|53300096237408|4665|76|1|28/12/2020 02:43
2469|903989044||5409|60|6|09/12/2020 00:04
2470|866097741|81591811414323|4270|40|5|01/12/2020 10:38
2471|585576847|75248881246668|8923|54|6|05/12/2020 11:27
2472|610357417|70511102734096|3713|95|4|06/12/2020 04:54
2473|476625151|65165400357094|1152|84|2|08/12/2020 23:49
2474|345774223|95119355511663|2196|23|4|31/12/2020 22:18
2475|588565296|89852873261416|5706|89|5|13/12/2020 19:02
2476|743173696|74165271650518|2082|17|4|29/12/2020 09:50
2477|653511395||1165|63|2|27/12/2020 03:48
2478|951769886|61561393526148|5344|34|7|01/12/2020 10:40
2479|537578897|78364117722728|4171|12|5|17/12/2020 12:41
2480|992941034|58176406350727|6105|96|6|08/12/2020 00:17
2481|273910840|81087014299284|6284|49|8|
2482|888018474|19966359554501|4105|50|8|20/12/2020 01:28
2483|491887256|67686200804326|9320|37|1|29/12/2020 01:31
2484|511149330|55918690457195|7527|43|2|09/12/2020 06:14
2485|770391265|46563118986998|4380|66|3|13/12/2020 07:34
